INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechLifetime,,,,
,,,,
sector.name,subsector.name,technology,year,lifetime
electricity,offshore wind,offshore_wind_storage_c4,2015,30
electricity,offshore wind,offshore_wind_storage_c4,2020,30
electricity,offshore wind,offshore_wind_storage_c4,2025,30
electricity,offshore wind,offshore_wind_storage_c4,2030,30
electricity,offshore wind,offshore_wind_storage_c4,2035,30
electricity,offshore wind,offshore_wind_storage_c4,2040,30
electricity,offshore wind,offshore_wind_storage_c4,2045,30
electricity,offshore wind,offshore_wind_storage_c4,2050,30
electricity,offshore wind,offshore_wind_storage_c4,2055,30
electricity,offshore wind,offshore_wind_storage_c4,2060,30
electricity,offshore wind,offshore_wind_storage_c4,2065,30
electricity,offshore wind,offshore_wind_storage_c4,2070,30
electricity,offshore wind,offshore_wind_storage_c4,2075,30
electricity,offshore wind,offshore_wind_storage_c4,2080,30
electricity,offshore wind,offshore_wind_storage_c4,2085,30
electricity,offshore wind,offshore_wind_storage_c4,2090,30
electricity,offshore wind,offshore_wind_storage_c4,2095,30
electricity,offshore wind,offshore_wind_storage_c4,2100,30
