INPUT_TABLE,,,
Variable ID,,,
StubTech,,,
,,,
region,supplysector,subsector,stub.technology
CA,electricity,offshore wind,offshore wind 3
CA,electricity,offshore wind,offshore_wind_storage_3
CT,electricity,offshore wind,offshore wind 3
CT,electricity,offshore wind,offshore_wind_storage_3
DE,electricity,offshore wind,offshore wind 3
DE,electricity,offshore wind,offshore_wind_storage_3
GA,electricity,offshore wind,offshore wind 3
GA,electricity,offshore wind,offshore_wind_storage_3
HI,electricity,offshore wind,offshore wind 3
HI,electricity,offshore wind,offshore_wind_storage_3
IL,electricity,offshore wind,offshore wind 3
IL,electricity,offshore wind,offshore_wind_storage_3
IN,electricity,offshore wind,offshore wind 3
IN,electricity,offshore wind,offshore_wind_storage_3
ME,electricity,offshore wind,offshore wind 3
ME,electricity,offshore wind,offshore_wind_storage_3
MD,electricity,offshore wind,offshore wind 3
MD,electricity,offshore wind,offshore_wind_storage_3
MA,electricity,offshore wind,offshore wind 3
MA,electricity,offshore wind,offshore_wind_storage_3
MI,electricity,offshore wind,offshore wind 3
MI,electricity,offshore wind,offshore_wind_storage_3
NH,electricity,offshore wind,offshore wind 3
NH,electricity,offshore wind,offshore_wind_storage_3
NJ,electricity,offshore wind,offshore wind 3
NJ,electricity,offshore wind,offshore_wind_storage_3
NY,electricity,offshore wind,offshore wind 3
NY,electricity,offshore wind,offshore_wind_storage_3
NC,electricity,offshore wind,offshore wind 3
NC,electricity,offshore wind,offshore_wind_storage_3
OH,electricity,offshore wind,offshore wind 3
OH,electricity,offshore wind,offshore_wind_storage_3
OR,electricity,offshore wind,offshore wind 3
OR,electricity,offshore wind,offshore_wind_storage_3
PA,electricity,offshore wind,offshore wind 3
PA,electricity,offshore wind,offshore_wind_storage_3
RI,electricity,offshore wind,offshore wind 3
RI,electricity,offshore wind,offshore_wind_storage_3
SC,electricity,offshore wind,offshore wind 3
SC,electricity,offshore wind,offshore_wind_storage_3
TX,electricity,offshore wind,offshore wind 3
TX,electricity,offshore wind,offshore_wind_storage_3
VA,electricity,offshore wind,offshore wind 3
VA,electricity,offshore wind,offshore_wind_storage_3
WA,electricity,offshore wind,offshore wind 3
WA,electricity,offshore wind,offshore_wind_storage_3
WI,electricity,offshore wind,offshore wind 3
WI,electricity,offshore wind,offshore_wind_storage_3
