INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechOMvar,,,,,
,,,,,
sector.name,subsector.name,technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore_wind_storage_c5,1975,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_c5,1990,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_c5,2005,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_c5,2010,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2015,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2020,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2025,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2030,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2035,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2040,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2045,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2050,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2055,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2060,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2065,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2070,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2075,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2080,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2085,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2090,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2095,OM-var,0
electricity,offshore wind,offshore_wind_storage_c5,2100,OM-var,0
