INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 2,1975,OM-var,2.28
electricity,offshore wind,offshore wind 2,1990,OM-var,2.28
electricity,offshore wind,offshore wind 2,2005,OM-var,2.28
electricity,offshore wind,offshore wind 2,2010,OM-var,0
electricity,offshore wind,offshore wind 2,2015,OM-var,0
electricity,offshore wind,offshore wind 2,2020,OM-var,0
electricity,offshore wind,offshore wind 2,2025,OM-var,0
electricity,offshore wind,offshore wind 2,2030,OM-var,0
electricity,offshore wind,offshore wind 2,2035,OM-var,0
electricity,offshore wind,offshore wind 2,2040,OM-var,0
electricity,offshore wind,offshore wind 2,2045,OM-var,0
electricity,offshore wind,offshore wind 2,2050,OM-var,0
electricity,offshore wind,offshore wind 2,2055,OM-var,0
electricity,offshore wind,offshore wind 2,2060,OM-var,0
electricity,offshore wind,offshore wind 2,2065,OM-var,0
electricity,offshore wind,offshore wind 2,2070,OM-var,0
electricity,offshore wind,offshore wind 2,2075,OM-var,0
electricity,offshore wind,offshore wind 2,2080,OM-var,0
electricity,offshore wind,offshore wind 2,2085,OM-var,0
electricity,offshore wind,offshore wind 2,2090,OM-var,0
electricity,offshore wind,offshore wind 2,2095,OM-var,0
electricity,offshore wind,offshore wind 2,2100,OM-var,0
