INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
CA,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
DE,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
HI,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
IL,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
ME,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
MD,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
MA,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
MI,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
NH,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
NJ,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
NY,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
NC,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
OR,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
RI,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
SC,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
TX,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
VA,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
WI,electricity,offshore wind,offshore wind 4,1975,capital,0.376336415,OM-fixed,0.376336415
CA,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
DE,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
HI,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
IL,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
ME,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
MD,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
MA,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
MI,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
NH,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
NJ,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
NY,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
NC,electricity,offshore wind,offshore wind 4,1990,capital,0.376336415,OM-fixed,0.376336415
