INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalTechOMvar,,,,,
,,,,,
sector.name,subsector.name,technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore_wind_storage_4,1975,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_4,1990,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_4,2005,OM-var,3.91
electricity,offshore wind,offshore_wind_storage_4,2010,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2015,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2020,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2025,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2030,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2035,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2040,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2045,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2050,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2055,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2060,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2065,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2070,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2075,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2080,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2085,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2090,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2095,OM-var,0
electricity,offshore wind,offshore_wind_storage_4,2100,OM-var,0
