INPUT_TABLE,,,,,,,,
Variable ID,,,,,,,,
StubTechCapFactor,,,,,,,,
,,,,,,,,
region,supplysector,subsector,stub.technology,year,input.capital,capacity.factor.capital,input.OM.fixed,capacity.factor.OM
CA,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
HI,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
ME,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
MA,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
MI,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
NH,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
NY,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
NC,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
OR,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
RI,electricity,offshore wind,offshore wind 5,1975,capital,0.406825425,OM-fixed,0.406825425
CA,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
HI,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
ME,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
MA,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
MI,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
NH,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
NY,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
NC,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
OR,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
RI,electricity,offshore wind,offshore wind 5,1990,capital,0.406825425,OM-fixed,0.406825425
CA,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
HI,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
ME,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
MA,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
MI,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
NH,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
NY,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
NC,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
OR,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
RI,electricity,offshore wind,offshore wind 5,2005,capital,0.406825425,OM-fixed,0.406825425
CA,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
HI,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
ME,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
MA,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
MI,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
NH,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
NY,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
NC,electricity,offshore wind,offshore wind 5,2010,capital,0.406825425,OM-fixed,0.406825425
