INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,CA
CA,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,CA
HI,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,HI
HI,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,HI
MA,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,MA
MA,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,MA
ME,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,ME
ME,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,ME
NY,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,NY
NY,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,NY
OR,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,OR
OR,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,OR
RI,electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,RI
RI,electricity,offshore wind,offshore_wind_storage_6,1975,offshore wind resource 6,RI
CA,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,CA
CA,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,CA
HI,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,HI
HI,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,HI
MA,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,MA
MA,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,MA
ME,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,ME
ME,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,ME
NY,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,NY
NY,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,NY
OR,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,OR
OR,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,OR
RI,electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,RI
RI,electricity,offshore wind,offshore_wind_storage_6,1990,offshore wind resource 6,RI
CA,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,CA
CA,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,CA
HI,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,HI
HI,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,HI
MA,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,MA
MA,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,MA
ME,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,ME
ME,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,ME
NY,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,NY
NY,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,NY
OR,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,OR
OR,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,OR
RI,electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,RI
RI,electricity,offshore wind,offshore_wind_storage_6,2005,offshore wind resource 6,RI
CA,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,CA
CA,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,CA
HI,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,HI
HI,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,HI
MA,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,MA
MA,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,MA
ME,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,ME
ME,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,ME
NY,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,NY
NY,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,NY
OR,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,OR
OR,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,OR
RI,electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,RI
RI,electricity,offshore wind,offshore_wind_storage_6,2010,offshore wind resource 6,RI
CA,electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,CA
CA,electricity,offshore wind,offshore_wind_storage_6,2015,offshore wind resource 6,CA
HI,electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,HI
HI,electricity,offshore wind,offshore_wind_storage_6,2015,offshore wind resource 6,HI
MA,electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,MA
MA,electricity,offshore wind,offshore_wind_storage_6,2015,offshore wind resource 6,MA
ME,electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,ME
ME,electricity,offshore wind,offshore_wind_storage_6,2015,offshore wind resource 6,ME
NY,electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,NY
