INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,CA
CA,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,CA
CT,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,CT
CT,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,CT
DE,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,DE
DE,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,DE
GA,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,GA
GA,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,GA
HI,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,HI
HI,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,HI
IL,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,IL
IL,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,IL
IN,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,IN
IN,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,IN
MA,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,MA
MA,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,MA
MD,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,MD
MD,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,MD
ME,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,ME
ME,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,ME
MI,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,MI
MI,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,MI
NC,electricity,offshore wind,offshore wind 3,1975,offshore wind resource 3,NC
NC,electricity,offshore wind,offshore_wind_storage_3,1975,offshore wind resource 3,NC
