INPUT_TABLE,,,,
Variable ID,,,,
GlobalTechLifetime,,,,
,,,,
sector.name,subsector.name,technology,year,lifetime
electricity,offshore wind,offshore_wind_storage_7,2015,30
electricity,offshore wind,offshore_wind_storage_7,2020,30
electricity,offshore wind,offshore_wind_storage_7,2025,30
electricity,offshore wind,offshore_wind_storage_7,2030,30
electricity,offshore wind,offshore_wind_storage_7,2035,30
electricity,offshore wind,offshore_wind_storage_7,2040,30
electricity,offshore wind,offshore_wind_storage_7,2045,30
electricity,offshore wind,offshore_wind_storage_7,2050,30
electricity,offshore wind,offshore_wind_storage_7,2055,30
electricity,offshore wind,offshore_wind_storage_7,2060,30
electricity,offshore wind,offshore_wind_storage_7,2065,30
electricity,offshore wind,offshore_wind_storage_7,2070,30
electricity,offshore wind,offshore_wind_storage_7,2075,30
electricity,offshore wind,offshore_wind_storage_7,2080,30
electricity,offshore wind,offshore_wind_storage_7,2085,30
electricity,offshore wind,offshore_wind_storage_7,2090,30
electricity,offshore wind,offshore_wind_storage_7,2095,30
electricity,offshore wind,offshore_wind_storage_7,2100,30
