INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,CA
CA,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,CA
CT,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,CT
CT,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,CT
DE,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,DE
DE,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,DE
GA,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,GA
GA,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,GA
HI,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,HI
HI,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,HI
IL,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,IL
IL,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,IL
IN,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,IN
IN,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,IN
LA,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,LA
LA,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,LA
MA,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,MA
MA,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,MA
MD,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,MD
MD,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,MD
ME,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,ME
ME,electricity,offshore wind,offshore_wind_storage_1,1975,offshore wind resource 1,ME
MI,electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,MI
