INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 6,1975,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,1990,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2005,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2010,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2015,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2020,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2025,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2030,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2035,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2040,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2045,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2050,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2055,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2060,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2065,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2070,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2075,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2080,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2085,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2090,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2095,backup_electricity,USA
CA,electricity,offshore wind,offshore wind 6,2100,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,1975,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,1990,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2005,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2010,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2015,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2020,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2025,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2030,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2035,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2040,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2045,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2050,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2055,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2060,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2065,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2070,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2075,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2080,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2085,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2090,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2095,backup_electricity,USA
HI,electricity,offshore wind,offshore wind 6,2100,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,1975,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,1990,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2005,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2010,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2015,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2020,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2025,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2030,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2035,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2040,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2045,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2050,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2055,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2060,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2065,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2070,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2075,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2080,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2085,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2090,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2095,backup_electricity,USA
MA,electricity,offshore wind,offshore wind 6,2100,backup_electricity,USA
ME,electricity,offshore wind,offshore wind 6,1975,backup_electricity,USA
ME,electricity,offshore wind,offshore wind 6,1990,backup_electricity,USA
ME,electricity,offshore wind,offshore wind 6,2005,backup_electricity,USA
ME,electricity,offshore wind,offshore wind 6,2010,backup_electricity,USA
ME,electricity,offshore wind,offshore wind 6,2015,backup_electricity,USA
