INPUT_TABLE,,,,
Variable ID,,,,
GlobalIntTechShrwt,,,,
,,,,
sector.name,subsector.name,intermittent.technology,year,share.weight
electricity,offshore wind,offshore wind c5,1975,0
electricity,offshore wind,offshore wind c5,1990,0
electricity,offshore wind,offshore wind c5,2005,0
electricity,offshore wind,offshore wind c5,2010,0
electricity,offshore wind,offshore wind c5,2015,0.25
electricity,offshore wind,offshore wind c5,2020,0.5
electricity,offshore wind,offshore wind c5,2025,0.75
electricity,offshore wind,offshore wind c5,2030,1
electricity,offshore wind,offshore wind c5,2035,1
electricity,offshore wind,offshore wind c5,2040,1
electricity,offshore wind,offshore wind c5,2045,1
electricity,offshore wind,offshore wind c5,2050,1
electricity,offshore wind,offshore wind c5,2055,1
electricity,offshore wind,offshore wind c5,2060,1
electricity,offshore wind,offshore wind c5,2065,1
electricity,offshore wind,offshore wind c5,2070,1
electricity,offshore wind,offshore wind c5,2075,1
electricity,offshore wind,offshore wind c5,2080,1
electricity,offshore wind,offshore wind c5,2085,1
electricity,offshore wind,offshore wind c5,2090,1
electricity,offshore wind,offshore wind c5,2095,1
electricity,offshore wind,offshore wind c5,2100,1
