INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 5,1975,OM-var,2.28
electricity,offshore wind,offshore wind 5,1990,OM-var,2.28
electricity,offshore wind,offshore wind 5,2005,OM-var,2.28
electricity,offshore wind,offshore wind 5,2010,OM-var,0
electricity,offshore wind,offshore wind 5,2015,OM-var,0
electricity,offshore wind,offshore wind 5,2020,OM-var,0
electricity,offshore wind,offshore wind 5,2025,OM-var,0
electricity,offshore wind,offshore wind 5,2030,OM-var,0
electricity,offshore wind,offshore wind 5,2035,OM-var,0
electricity,offshore wind,offshore wind 5,2040,OM-var,0
electricity,offshore wind,offshore wind 5,2045,OM-var,0
electricity,offshore wind,offshore wind 5,2050,OM-var,0
electricity,offshore wind,offshore wind 5,2055,OM-var,0
electricity,offshore wind,offshore wind 5,2060,OM-var,0
electricity,offshore wind,offshore wind 5,2065,OM-var,0
electricity,offshore wind,offshore wind 5,2070,OM-var,0
electricity,offshore wind,offshore wind 5,2075,OM-var,0
electricity,offshore wind,offshore wind 5,2080,OM-var,0
electricity,offshore wind,offshore wind 5,2085,OM-var,0
electricity,offshore wind,offshore wind 5,2090,OM-var,0
electricity,offshore wind,offshore wind 5,2095,OM-var,0
electricity,offshore wind,offshore wind 5,2100,OM-var,0
