INPUT_TABLE,,,,,
Variable ID,,,,,
StubTechElecMarket,,,,,
,,,,,
region,supplysector,subsector,stub.technology,year,electric.sector.market
NY,electricity,offshore wind,offshore wind 6,2085,New York grid
NY,electricity,offshore wind,offshore wind 6,2090,New York grid
NY,electricity,offshore wind,offshore wind 6,2095,New York grid
NY,electricity,offshore wind,offshore wind 6,2100,New York grid
OR,electricity,offshore wind,offshore wind 6,1975,Northwest grid
OR,electricity,offshore wind,offshore wind 6,1990,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2005,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2010,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2015,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2020,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2025,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2030,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2035,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2040,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2045,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2050,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2055,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2060,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2065,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2070,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2075,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2080,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2085,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2090,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2095,Northwest grid
OR,electricity,offshore wind,offshore wind 6,2100,Northwest grid
RI,electricity,offshore wind,offshore wind 6,1975,New England grid
RI,electricity,offshore wind,offshore wind 6,1990,New England grid
RI,electricity,offshore wind,offshore wind 6,2005,New England grid
RI,electricity,offshore wind,offshore wind 6,2010,New England grid
RI,electricity,offshore wind,offshore wind 6,2015,New England grid
RI,electricity,offshore wind,offshore wind 6,2020,New England grid
RI,electricity,offshore wind,offshore wind 6,2025,New England grid
RI,electricity,offshore wind,offshore wind 6,2030,New England grid
RI,electricity,offshore wind,offshore wind 6,2035,New England grid
RI,electricity,offshore wind,offshore wind 6,2040,New England grid
RI,electricity,offshore wind,offshore wind 6,2045,New England grid
RI,electricity,offshore wind,offshore wind 6,2050,New England grid
RI,electricity,offshore wind,offshore wind 6,2055,New England grid
RI,electricity,offshore wind,offshore wind 6,2060,New England grid
RI,electricity,offshore wind,offshore wind 6,2065,New England grid
RI,electricity,offshore wind,offshore wind 6,2070,New England grid
RI,electricity,offshore wind,offshore wind 6,2075,New England grid
RI,electricity,offshore wind,offshore wind 6,2080,New England grid
RI,electricity,offshore wind,offshore wind 6,2085,New England grid
RI,electricity,offshore wind,offshore wind 6,2090,New England grid
RI,electricity,offshore wind,offshore wind 6,2095,New England grid
RI,electricity,offshore wind,offshore wind 6,2100,New England grid
