INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,CA
CA,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,CA
CT,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,CT
CT,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,CT
DE,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,DE
DE,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,DE
GA,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,GA
GA,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,GA
HI,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,HI
HI,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,HI
IL,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,IL
IL,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,IL
IN,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,IN
IN,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,IN
LA,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,LA
LA,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,LA
MA,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,MA
MA,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,MA
MD,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,MD
MD,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,MD
ME,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,ME
ME,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,ME
MI,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,MI
MI,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,MI
MN,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,MN
MN,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,MN
NC,electricity,offshore wind,offshore wind 2,1975,offshore wind resource 2,NC
NC,electricity,offshore wind,offshore_wind_storage_2,1975,offshore wind resource 2,NC
