INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 6,1975,OM-var,2.28
electricity,offshore wind,offshore wind 6,1990,OM-var,2.28
electricity,offshore wind,offshore wind 6,2005,OM-var,2.28
electricity,offshore wind,offshore wind 6,2010,OM-var,0
electricity,offshore wind,offshore wind 6,2015,OM-var,0
electricity,offshore wind,offshore wind 6,2020,OM-var,0
electricity,offshore wind,offshore wind 6,2025,OM-var,0
electricity,offshore wind,offshore wind 6,2030,OM-var,0
electricity,offshore wind,offshore wind 6,2035,OM-var,0
electricity,offshore wind,offshore wind 6,2040,OM-var,0
electricity,offshore wind,offshore wind 6,2045,OM-var,0
electricity,offshore wind,offshore wind 6,2050,OM-var,0
electricity,offshore wind,offshore wind 6,2055,OM-var,0
electricity,offshore wind,offshore wind 6,2060,OM-var,0
electricity,offshore wind,offshore wind 6,2065,OM-var,0
electricity,offshore wind,offshore wind 6,2070,OM-var,0
electricity,offshore wind,offshore wind 6,2075,OM-var,0
electricity,offshore wind,offshore wind 6,2080,OM-var,0
electricity,offshore wind,offshore wind 6,2085,OM-var,0
electricity,offshore wind,offshore wind 6,2090,OM-var,0
electricity,offshore wind,offshore wind 6,2095,OM-var,0
electricity,offshore wind,offshore wind 6,2100,OM-var,0
