INPUT_TABLE,,,,,,
Variable ID,,,,,,
StubTechMarket,,,,,,
,,,,,,
region,supplysector,subsector,stub.technology,year,minicam.energy.input,market.name
CA,electricity,offshore wind,offshore wind 7,1975,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,1975,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,1975,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,1975,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,1975,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,1975,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,1975,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,1975,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,1990,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,1990,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,1990,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,1990,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,1990,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,1990,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,1990,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,1990,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2005,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2005,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2005,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2005,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2005,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2005,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2005,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2005,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2010,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2010,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2010,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2010,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2010,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2010,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2010,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2010,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2015,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2015,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2015,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2015,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2015,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2015,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2015,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2015,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2020,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2020,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2020,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2020,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2020,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2020,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2020,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2020,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2025,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2025,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2025,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2025,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2025,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2025,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2025,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2025,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2030,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2030,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2030,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2030,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2030,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2030,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2030,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2030,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2035,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2035,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2035,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2035,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2035,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2035,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2035,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2035,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2040,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2040,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2040,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2040,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2040,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2040,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2040,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2040,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2045,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2045,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2045,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2045,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2045,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2045,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2045,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2045,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2050,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2050,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2050,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2050,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2050,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2050,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2050,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2050,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2055,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2055,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2055,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2055,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2055,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2055,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2055,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2055,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2060,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2060,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2060,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2060,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2060,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2060,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2060,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2060,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2065,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2065,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2065,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2065,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2065,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2065,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2065,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2065,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2070,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2070,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2070,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2070,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2070,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2070,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2070,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2070,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2075,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2075,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2075,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2075,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2075,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2075,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2075,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2075,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2080,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2080,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2080,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2080,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2080,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2080,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2080,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2080,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2085,offshore wind resource 7,CA
CA,electricity,offshore wind,offshore_wind_storage_7,2085,offshore wind resource 7,CA
HI,electricity,offshore wind,offshore wind 7,2085,offshore wind resource 7,HI
HI,electricity,offshore wind,offshore_wind_storage_7,2085,offshore wind resource 7,HI
ME,electricity,offshore wind,offshore wind 7,2085,offshore wind resource 7,ME
ME,electricity,offshore wind,offshore_wind_storage_7,2085,offshore wind resource 7,ME
OR,electricity,offshore wind,offshore wind 7,2085,offshore wind resource 7,OR
OR,electricity,offshore wind,offshore_wind_storage_7,2085,offshore wind resource 7,OR
CA,electricity,offshore wind,offshore wind 7,2090,offshore wind resource 7,CA
