INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind 1,1975,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,1990,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2005,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2010,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2015,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2020,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2025,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2030,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2035,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2040,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2045,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2050,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2055,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2060,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2065,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2070,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2075,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2080,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2085,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2090,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2095,offshore wind resource 1,1
electricity,offshore wind,offshore wind 1,2100,offshore wind resource 1,1
