INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechOMvar,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,input.OM.var,OM.var
electricity,offshore wind,offshore wind 3,1975,OM-var,2.28
electricity,offshore wind,offshore wind 3,1990,OM-var,2.28
electricity,offshore wind,offshore wind 3,2005,OM-var,2.28
electricity,offshore wind,offshore wind 3,2010,OM-var,0
electricity,offshore wind,offshore wind 3,2015,OM-var,0
electricity,offshore wind,offshore wind 3,2020,OM-var,0
electricity,offshore wind,offshore wind 3,2025,OM-var,0
electricity,offshore wind,offshore wind 3,2030,OM-var,0
electricity,offshore wind,offshore wind 3,2035,OM-var,0
electricity,offshore wind,offshore wind 3,2040,OM-var,0
electricity,offshore wind,offshore wind 3,2045,OM-var,0
electricity,offshore wind,offshore wind 3,2050,OM-var,0
electricity,offshore wind,offshore wind 3,2055,OM-var,0
electricity,offshore wind,offshore wind 3,2060,OM-var,0
electricity,offshore wind,offshore wind 3,2065,OM-var,0
electricity,offshore wind,offshore wind 3,2070,OM-var,0
electricity,offshore wind,offshore wind 3,2075,OM-var,0
electricity,offshore wind,offshore wind 3,2080,OM-var,0
electricity,offshore wind,offshore wind 3,2085,OM-var,0
electricity,offshore wind,offshore wind 3,2090,OM-var,0
electricity,offshore wind,offshore wind 3,2095,OM-var,0
electricity,offshore wind,offshore wind 3,2100,OM-var,0
