INPUT_TABLE,,,,,
Variable ID,,,,,
GlobalIntTechEff,,,,,
,,,,,
sector.name,subsector.name,intermittent.technology,year,minicam.energy.input,efficiency
electricity,offshore wind,offshore wind 6,1975,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,1990,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2005,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2010,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2015,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2020,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2025,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2030,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2035,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2040,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2045,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2050,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2055,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2060,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2065,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2070,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2075,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2080,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2085,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2090,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2095,offshore wind resource 6,1
electricity,offshore wind,offshore wind 6,2100,offshore wind resource 6,1
